      #Energy        TDOS-UP        TDOS-DOWN
     -25.46700       0.00000       0.00000
     -25.43400       0.00000       0.00000
     -25.40100       0.00000       0.00000
     -25.36800       0.00000       0.00000
     -25.33600       0.00000       0.00000
     -25.30300       0.00000       0.00000
     -25.27000       0.00000       0.00000
     -25.23700       0.00000       0.00000
     -25.20400       0.00000       0.00000
     -25.17100       0.00000       0.00000
     -25.13800       0.00000       0.00000
     -25.10500       0.00000       0.00000
     -25.07300       0.00000       0.00000
     -25.04000       0.00000       0.00000
     -25.00700       0.00000       0.00000
     -24.97400       0.00000       0.00000
     -24.94100       0.00000       0.00000
     -24.90800       0.00000       0.00000
     -24.87500       0.00000       0.00000
     -24.84300       0.00000       0.00000
     -24.81000       0.00000       0.00000
     -24.77700       0.00000       0.00000
     -24.74400       0.00000       0.00000
     -24.71100       0.00000       0.00000
     -24.67800       0.00000       0.00000
     -24.64500       0.00000       0.00000
     -24.61200       0.00000       0.00000
     -24.58000       0.00000       0.00000
     -24.54700       0.00000       0.00000
     -24.51400       0.00000       0.00000
     -24.48100       0.00000       0.00000
     -24.44800       0.00000       0.00000
     -24.41500       0.00000       0.00000
     -24.38200       0.00000       0.00000
     -24.35000       0.00000       0.00000
     -24.31700       0.00000       0.00000
     -24.28400       0.00000       0.00000
     -24.25100       0.00000      -0.00000
     -24.21800       0.00000      -0.00000
     -24.18500       0.00000      -0.00000
     -24.15200       0.00000      -0.00000
     -24.11900       0.00004      -0.00004
     -24.08700       0.00146      -0.00146
     -24.05400       0.02521      -0.02521
     -24.02100       0.20693      -0.20693
     -23.98800       0.87094      -0.87094
     -23.95500       2.08994      -2.08994
     -23.92200       3.25701      -3.25701
     -23.88900       3.83785      -3.83785
     -23.85700       3.98207      -3.98207
     -23.82400       3.99906      -3.99906
     -23.79100       3.99997      -3.99997
     -23.75800       4.00000      -4.00000
     -23.72500       4.00000      -4.00000
     -23.69200       4.00000      -4.00000
     -23.65900       4.00000      -4.00000
     -23.62600       4.00000      -4.00000
     -23.59400       4.00000      -4.00000
     -23.56100       4.00000      -4.00000
     -23.52800       4.00000      -4.00000
     -23.49500       4.00000      -4.00000
     -23.46200       4.00000      -4.00000
     -23.42900       4.00000      -4.00000
     -23.39600       4.00000      -4.00000
     -23.36400       4.00000      -4.00000
     -23.33100       4.00000      -4.00000
     -23.29800       4.00000      -4.00000
     -23.26500       4.00000      -4.00000
     -23.23200       4.00000      -4.00000
     -23.19900       4.00000      -4.00000
     -23.16600       4.00000      -4.00000
     -23.13300       4.00000      -4.00000
     -23.10100       4.00000      -4.00000
     -23.06800       4.00000      -4.00000
     -23.03500       4.00000      -4.00000
     -23.00200       4.00000      -4.00000
     -22.96900       4.00000      -4.00000
     -22.93600       4.00000      -4.00000
     -22.90300       4.00000      -4.00000
     -22.87100       4.00000      -4.00000
     -22.83800       4.00000      -4.00000
     -22.80500       4.00000      -4.00000
     -22.77200       4.00000      -4.00000
     -22.73900       4.00000      -4.00000
     -22.70600       4.00000      -4.00000
     -22.67300       4.00000      -4.00000
     -22.64100       4.00000      -4.00000
     -22.60800       4.00000      -4.00000
     -22.57500       4.00000      -4.00000
     -22.54200       4.00000      -4.00000
     -22.50900       4.00000      -4.00000
     -22.47600       4.00000      -4.00000
     -22.44300       4.00000      -4.00000
     -22.41000       4.00000      -4.00000
     -22.37800       4.00000      -4.00000
     -22.34500       4.00000      -4.00000
     -22.31200       4.00000      -4.00000
     -22.27900       4.00000      -4.00000
     -22.24600       4.00000      -4.00000
     -22.21300       4.00000      -4.00000
     -22.18000       4.00000      -4.00000
     -22.14800       4.00000      -4.00000
     -22.11500       4.00000      -4.00000
     -22.08200       4.00000      -4.00000
     -22.04900       4.00000      -4.00000
     -22.01600       4.00000      -4.00000
     -21.98300       4.00000      -4.00000
     -21.95000       4.00000      -4.00000
     -21.91700       4.00000      -4.00000
     -21.88500       4.00000      -4.00000
     -21.85200       4.00000      -4.00000
     -21.81900       4.00000      -4.00000
     -21.78600       4.00000      -4.00000
     -21.75300       4.00000      -4.00000
     -21.72000       4.00000      -4.00000
