      #Energy        TDOS-UP        TDOS-DOWN
     -22.54486       0.00000       0.00000
     -22.51186       0.00000       0.00000
     -22.47886       0.00000       0.00000
     -22.44586       0.00000       0.00000
     -22.41386       0.00000       0.00000
     -22.38086       0.00000       0.00000
     -22.34786       0.00000       0.00000
     -22.31486       0.00000       0.00000
     -22.28186       0.00000       0.00000
     -22.24886       0.00000       0.00000
     -22.21586       0.00000       0.00000
     -22.18286       0.00000       0.00000
     -22.15086       0.00000       0.00000
     -22.11786       0.00000       0.00000
     -22.08486       0.00000       0.00000
     -22.05186       0.00000       0.00000
     -22.01886       0.00000       0.00000
     -21.98586       0.00000       0.00000
     -21.95286       0.00000       0.00000
     -21.92086       0.00000       0.00000
     -21.88786       0.00000       0.00000
     -21.85486       0.00000       0.00000
     -21.82186       0.00000       0.00000
     -21.78886       0.00000       0.00000
     -21.75586       0.00000       0.00000
     -21.72286       0.00000       0.00000
     -21.68986       0.00000       0.00000
     -21.65786       0.00000       0.00000
     -21.62486       0.00000       0.00000
     -21.59186       0.00000       0.00000
     -21.55886       0.00000       0.00000
     -21.52586       0.00000       0.00000
     -21.49286       0.00000       0.00000
     -21.45986       0.00000       0.00000
     -21.42786       0.00000       0.00000
     -21.39486       0.00000       0.00000
     -21.36186       0.00000       0.00000
     -21.32886       0.00000      -0.00000
     -21.29586       0.00000      -0.00000
     -21.26286       0.00000      -0.00000
     -21.22986       0.00003      -0.00003
     -21.19686       0.00229      -0.00229
     -21.16486       0.08429      -0.08429
     -21.13186       1.36100      -1.36100
     -21.09886       9.69700      -9.69700
     -21.06586      30.71000     -30.71000
     -21.03286      43.47000     -43.47000
     -20.99986      27.55000     -27.55000
     -20.96686       7.79600      -7.79600
     -20.93486       0.97990      -0.97990
     -20.90186       0.05429      -0.05429
     -20.86886       0.00132      -0.00132
     -20.83586       0.00001      -0.00001
     -20.80286       0.00000      -0.00000
     -20.76986       0.00000      -0.00000
     -20.73686       0.00000      -0.00000
     -20.70386       0.00000       0.00000
     -20.67186       0.00000       0.00000
     -20.63886       0.00000       0.00000
     -20.60586       0.00000       0.00000
     -20.57286       0.00000       0.00000
     -20.53986       0.00000       0.00000
     -20.50686       0.00000       0.00000
     -20.47386       0.00000       0.00000
     -20.44186       0.00000       0.00000
     -20.40886       0.00000       0.00000
     -20.37586       0.00000       0.00000
     -20.34286       0.00000       0.00000
     -20.30986       0.00000       0.00000
     -20.27686       0.00000       0.00000
     -20.24386       0.00000       0.00000
     -20.21086       0.00000       0.00000
     -20.17886       0.00000       0.00000
     -20.14586       0.00000       0.00000
     -20.11286       0.00000       0.00000
