#K-Path              Spin-Up       Spin-Down
# NKPTS & NBANDS:  60 516
# Band-Index    1
   0.00000    -20.959720    -20.950181
   0.01681    -20.959718    -20.950180
   0.03361    -20.959715    -20.950177
   0.05042    -20.959716    -20.950177
   0.06722    -20.959714    -20.950175
   0.08403    -20.959714    -20.950175
   0.10083    -20.959713    -20.950174
   0.11764    -20.959711    -20.950172
   0.13444    -20.959711    -20.950173
   0.15125    -20.959711    -20.950173
   0.15125    -20.959711    -20.950173
   0.15671    -20.959712    -20.950173
   0.16217    -20.959714    -20.950175
   0.16763    -20.959715    -20.950176
   0.17309    -20.959716    -20.950177
   0.17855    -20.959717    -20.950178
   0.18401    -20.959714    -20.950175
   0.18947    -20.959714    -20.950175
   0.19493    -20.959713    -20.950174
   0.20039    -20.959713    -20.950175
   0.20039    -20.959713    -20.950175
   0.21469    -20.959713    -20.950174
   0.22898    -20.959715    -20.950177
   0.24328    -20.959715    -20.950176
   0.25758    -20.959712    -20.950174
   0.27187    -20.959713    -20.950174
   0.28617    -20.959712    -20.950173
   0.30046    -20.959712    -20.950173
   0.31476    -20.959713    -20.950174
   0.32905    -20.959715    -20.950176
   0.32905    -20.959715    -20.950176
   0.34335    -20.959713    -20.950174
   0.35764    -20.959712    -20.950173
   0.37194    -20.959712    -20.950173
   0.38624    -20.959713    -20.950174
   0.40053    -20.959712    -20.950174
   0.41483    -20.959715    -20.950176
   0.42912    -20.959715    -20.950177
   0.44342    -20.959713    -20.950174
   0.45771    -20.959713    -20.950175
   0.45771    -20.959713    -20.950175
   0.46317    -20.959713    -20.950174
   0.46863    -20.959714    -20.950175
   0.47409    -20.959714    -20.950175
   0.47956    -20.959717    -20.950178
   0.48502    -20.959716    -20.950177
   0.49048    -20.959715    -20.950176
   0.49594    -20.959714    -20.950175
   0.50140    -20.959712    -20.950173
   0.50686    -20.959711    -20.950172
   0.50686    -20.959711    -20.950172
   0.52366    -20.959711    -20.950173
   0.54047    -20.959711    -20.950172
   0.55727    -20.959713    -20.950174
   0.57408    -20.959714    -20.950175
   0.59088    -20.959714    -20.950175
   0.60769    -20.959716    -20.950177
   0.62450    -20.959715    -20.950177
   0.64130    -20.959718    -20.950180
   0.65811    -20.959720    -20.950181
 
 
# Band-Index    2
   0.65811    -20.959397    -20.949834
   0.64130    -20.959396    -20.949833
   0.62450    -20.959393    -20.949830
   0.60769    -20.959393    -20.949831
   0.59088    -20.959391    -20.949829
   0.57408    -20.959391    -20.949828
   0.55727    -20.959390    -20.949828
   0.54047    -20.959388    -20.949826
   0.52366    -20.959388    -20.949826
   0.50686    -20.959388    -20.949826
   0.50686    -20.959388    -20.949826
   0.50140    -20.959389    -20.949827
   0.49594    -20.959391    -20.949828
   0.49048    -20.959392    -20.949830
   0.48502    -20.959393    -20.949830
   0.47956    -20.959394    -20.949832
   0.47409    -20.959391    -20.949829
   0.46863    -20.959391    -20.949829
   0.46317    -20.959390    -20.949827
   0.45771    -20.959390    -20.949828
   0.45771    -20.959390    -20.949828
   0.44342    -20.959390    -20.949828
   0.42912    -20.959392    -20.949830
   0.41483    -20.959392    -20.949830
   0.40053    -20.959389    -20.949827
   0.38624    -20.959390    -20.949827
   0.37194    -20.959389    -20.949827
   0.35764    -20.959389    -20.949827
   0.34335    -20.959390    -20.949828
   0.32905    -20.959392    -20.949830
   0.32905    -20.959392    -20.949830
   0.31476    -20.959390    -20.949828
   0.30046    -20.959389    -20.949827
   0.28617    -20.959389    -20.949827
   0.27187    -20.959390    -20.949827
   0.25758    -20.959389    -20.949827
   0.24328    -20.959392    -20.949830
   0.22898    -20.959392    -20.949830
   0.21469    -20.959390    -20.949828
   0.20039    -20.959390    -20.949828
   0.20039    -20.959390    -20.949828
   0.19493    -20.959390    -20.949827
   0.18947    -20.959391    -20.949829
   0.18401    -20.959391    -20.949829
   0.17855    -20.959394    -20.949832
   0.17309    -20.959393    -20.949830
   0.16763    -20.959392    -20.949830
   0.16217    -20.959391    -20.949828
   0.15671    -20.959389    -20.949827
   0.15125    -20.959388    -20.949826
   0.15125    -20.959388    -20.949826
   0.13444    -20.959388    -20.949826
   0.11764    -20.959388    -20.949826
   0.10083    -20.959390    -20.949828
   0.08403    -20.959391    -20.949828
   0.06722    -20.959391    -20.949829
   0.05042    -20.959393    -20.949831
   0.03361    -20.959393    -20.949830
   0.01681    -20.959396    -20.949833
   0.00000    -20.959397    -20.949834
 
 
# Band-Index    3
   0.00000    -18.338628    -18.321531
   0.01681    -18.338244    -18.321145
   0.03361    -18.337092    -18.319987
   0.05042    -18.335176    -18.318061
   0.06722    -18.332512    -18.315384
   0.08403    -18.329115    -18.311970
   0.10083    -18.325008    -18.307843
   0.11764    -18.320223    -18.303035
   0.13444    -18.314817    -18.297610
   0.15125    -18.309717    -18.292573
   0.15125    -18.309717    -18.292573
   0.15671    -18.309816    -18.292652
