      #Energy        TDOS-UP        TDOS-DOWN
     -22.45369       0.00000       0.00000
     -22.42169       0.00000       0.00000
     -22.38869       0.00000       0.00000
     -22.35569       0.00000       0.00000
     -22.32269       0.00000       0.00000
     -22.28969       0.00000       0.00000
     -22.25669       0.00000       0.00000
     -22.22369       0.00000       0.00000
     -22.19069       0.00000       0.00000
     -22.15769       0.00000       0.00000
     -22.12469       0.00000       0.00000
     -22.09169       0.00000       0.00000
     -22.05969       0.00000       0.00000
     -22.02669       0.00000       0.00000
     -21.99369       0.00000       0.00000
     -21.96069       0.00000       0.00000
     -21.92769       0.00000       0.00000
     -21.89469       0.00000       0.00000
     -21.86169       0.00000       0.00000
     -21.82869       0.00000       0.00000
     -21.79569       0.00000       0.00000
     -21.76269       0.00000       0.00000
     -21.72969       0.00000       0.00000
     -21.69669       0.00000       0.00000
     -21.66469       0.00000       0.00000
     -21.63169       0.00000       0.00000
     -21.59869       0.00000       0.00000
     -21.56569       0.00000       0.00000
     -21.53269       0.00000       0.00000
     -21.49969       0.00000       0.00000
     -21.46669       0.00000       0.00000
     -21.43369       0.00000       0.00000
     -21.40069       0.00000       0.00000
     -21.36769       0.00000       0.00000
     -21.33469       0.00000       0.00000
     -21.30269       0.00000       0.00000
     -21.26969       0.00000       0.00000
     -21.23669       0.00000      -0.00000
     -21.20369       0.00000      -0.00000
     -21.17069       0.00000      -0.00000
     -21.13769       0.00000      -0.00000
     -21.10469       0.00004      -0.00001
     -21.07169       0.00152      -0.00058
     -21.03869       0.02612      -0.01239
     -21.00569       0.21270      -0.12447
     -20.97269       0.88787      -0.62465
     -20.94069       2.11423      -1.72875
     -20.90769       3.27445      -2.98885
     -20.87469       3.84386      -3.73935
     -20.84169       3.98293      -3.96496
     -20.80869       3.99900      -3.99751
     -20.77569       3.99984      -3.99967
     -20.74269       3.99986      -3.99973
     -20.70969       3.99986      -3.99973
     -20.67669       3.99986      -3.99973
     -20.64369       3.99986      -3.99973
     -20.61069       3.99986      -3.99973
     -20.57869       3.99986      -3.99973
     -20.54569       3.99986      -3.99973
     -20.51269       3.99986      -3.99973
     -20.47969       3.99986      -3.99973
     -20.44669       3.99986      -3.99973
     -20.41369       3.99986      -3.99973
     -20.38069       3.99986      -3.99973
     -20.34769       3.99986      -3.99973
     -20.31469       3.99986      -3.99973
     -20.28169       3.99986      -3.99973
     -20.24869       3.99986      -3.99973
     -20.21669       3.99986      -3.99973
     -20.18369       3.99986      -3.99973
     -20.15069       3.99986      -3.99973
     -20.11769       3.99986      -3.99973
     -20.08469       3.99986      -3.99973
     -20.05169       3.99986      -3.99973
     -20.01869       3.99986      -3.99973
     -19.98569       3.99986      -3.99973
     -19.95269       3.99986      -3.99973
     -19.91969       3.99986      -3.99973
     -19.88669       3.99986      -3.99973
     -19.85469       3.99986      -3.99973
     -19.82169       3.99986      -3.99973
     -19.78869       3.99986      -3.99973
     -19.75569       3.99986      -3.99973
     -19.72269       3.99986      -3.99973
     -19.68969       3.99986      -3.99973
     -19.65669       3.99986      -3.99973
     -19.62369       3.99986      -3.99973
     -19.59069       3.99986      -3.99973
     -19.55769       3.99986      -3.99973
     -19.52469       3.99986      -3.99973
     -19.49269       3.99986      -3.99973
     -19.45969       3.99986      -3.99973
     -19.42669       3.99986      -3.99973
     -19.39369       3.99986      -3.99973
     -19.36069       3.99986      -3.99973
     -19.32769       3.99986      -3.99973
     -19.29469       3.99986      -3.99973
     -19.26169       3.99986      -3.99973
     -19.22869       3.99986      -3.99973
     -19.19569       3.99986      -3.99973
     -19.16269       3.99986      -3.99973
     -19.13069       3.99986      -3.99973
     -19.09769       3.99986      -3.99973
     -19.06469       3.99986      -3.99973
     -19.03169       3.99986      -3.99973
     -18.99869       3.99986      -3.99973
     -18.96569       3.99986      -3.99973
     -18.93269       3.99986      -3.99973
     -18.89969       3.99986      -3.99973
     -18.86669       3.99986      -3.99973
     -18.83369       3.99986      -3.99973
