      #Energy        TDOS-UP        TDOS-DOWN
     -22.45369       0.00000       0.00000
     -22.42169       0.00000       0.00000
     -22.38869       0.00000       0.00000
     -22.35569       0.00000       0.00000
     -22.32269       0.00000       0.00000
     -22.28969       0.00000       0.00000
     -22.25669       0.00000       0.00000
     -22.22369       0.00000       0.00000
     -22.19069       0.00000       0.00000
     -22.15769       0.00000       0.00000
     -22.12469       0.00000       0.00000
     -22.09169       0.00000       0.00000
     -22.05969       0.00000       0.00000
     -22.02669       0.00000       0.00000
     -21.99369       0.00000       0.00000
     -21.96069       0.00000       0.00000
     -21.92769       0.00000       0.00000
     -21.89469       0.00000       0.00000
     -21.86169       0.00000       0.00000
     -21.82869       0.00000       0.00000
     -21.79569       0.00000       0.00000
     -21.76269       0.00000       0.00000
     -21.72969       0.00000       0.00000
     -21.69669       0.00000       0.00000
     -21.66469       0.00000       0.00000
     -21.63169       0.00000       0.00000
     -21.59869       0.00000       0.00000
     -21.56569       0.00000       0.00000
     -21.53269       0.00000       0.00000
     -21.49969       0.00000       0.00000
     -21.46669       0.00000       0.00000
     -21.43369       0.00000       0.00000
     -21.40069       0.00000       0.00000
     -21.36769       0.00000       0.00000
     -21.33469       0.00000       0.00000
     -21.30269       0.00000       0.00000
     -21.26969       0.00000       0.00000
     -21.23669       0.00000      -0.00000
     -21.20369       0.00000      -0.00000
     -21.17069       0.00000      -0.00000
     -21.13769       0.00003      -0.00001
     -21.10469       0.00239      -0.00072
     -21.07169       0.08773      -0.03359
     -21.03869       1.40700      -0.68450
     -21.00569       9.93200      -6.12700
     -20.97269      31.10000     -24.27000
     -20.94069      43.43000     -42.83000
     -20.90769      27.08000     -33.75000
     -20.87469       7.52500     -11.86000
     -20.84169       0.92640      -1.85100
     -20.80869       0.05014      -0.12730
     -20.77569       0.00118      -0.00383
     -20.74269       0.00001      -0.00005
     -20.70969       0.00000      -0.00000
     -20.67669       0.00000      -0.00000
     -20.64369       0.00000      -0.00000
     -20.61069       0.00000       0.00000
     -20.57869       0.00000       0.00000
     -20.54569       0.00000       0.00000
     -20.51269       0.00000       0.00000
     -20.47969       0.00000       0.00000
     -20.44669       0.00000       0.00000
     -20.41369       0.00000       0.00000
     -20.38069       0.00000       0.00000
     -20.34769       0.00000       0.00000
     -20.31469       0.00000       0.00000
     -20.28169       0.00000       0.00000
     -20.24869       0.00000       0.00000
     -20.21669       0.00000       0.00000
     -20.18369       0.00000       0.00000
     -20.15069       0.00000       0.00000
     -20.11769       0.00000       0.00000
     -20.08469       0.00000       0.00000
     -20.05169       0.00000       0.00000
     -20.01869       0.00000       0.00000
     -19.98569       0.00000       0.00000
     -19.95269       0.00000       0.00000
     -19.91969       0.00000       0.00000
     -19.88669       0.00000       0.00000
     -19.85469       0.00000       0.00000
     -19.82169       0.00000       0.00000
     -19.78869       0.00000       0.00000
     -19.75569       0.00000       0.00000
     -19.72269       0.00000       0.00000
     -19.68969       0.00000       0.00000
     -19.65669       0.00000       0.00000
     -19.62369       0.00000       0.00000
     -19.59069       0.00000       0.00000
     -19.55769       0.00000       0.00000
     -19.52469       0.00000       0.00000
     -19.49269       0.00000       0.00000
     -19.45969       0.00000       0.00000
     -19.42669       0.00000       0.00000
     -19.39369       0.00000       0.00000
     -19.36069       0.00000       0.00000
     -19.32769       0.00000       0.00000
     -19.29469       0.00000       0.00000
     -19.26169       0.00000       0.00000
     -19.22869       0.00000       0.00000
     -19.19569       0.00000       0.00000
     -19.16269       0.00000       0.00000
     -19.13069       0.00000       0.00000
     -19.09769       0.00000       0.00000
     -19.06469       0.00000       0.00000
     -19.03169       0.00000       0.00000
     -18.99869       0.00000       0.00000
     -18.96569       0.00000       0.00000
     -18.93269       0.00000       0.00000
     -18.89969       0.00000       0.00000
     -18.86669       0.00000       0.00000
     -18.83369       0.00000       0.00000
     -18.80069       0.00000       0.00000
     -18.76869       0.00000       0.00000
     -18.73569       0.00000       0.00000
